cellid,userid,freq_updates
034579002861,-9036311992913930000,1
006303004505,-9036311992913930000,1
001131002819,-9036311992913930000,1
037142002863,-9036311992913930000,1
003742002860,-9036311992913930000,1
030489002861,-9036311992913930000,1
032113002860,-9036311992913930000,1
005201002819,-9036311992913930000,1
030133002862,-9036311992913930000,1
030863002861,-9036311992913930000,1
047433004560,-9036311992913930000,1
004213004505,-9036311992913930000,1
019461002860,-9036311992913930000,1
001203002862,-9036311992913930000,1
062516002860,-9036311992913930000,1
037148002863,-9036311992913930000,1
006022004505,-9036311992913930000,1
005163002807,-9036311992913930000,1
004212004505,-9036311992913930000,1
002033002819,-9036311992913930000,1
005313002812,-9032021279126500000,17
030348002860,-9032021279126500000,14
024713002861,-9032021279126500000,7
002162002820,-9032021279126500000,6
046793002866,-9032021279126500000,6
016121002861,-9032021279126500000,6
033941002862,-9032021279126500000,4
010008002861,-9032021279126500000,4
024723002861,-9032021279126500000,4
047143002866,-9032021279126500000,4
024712002861,-9032021279126500000,4
036161002861,-9032021279126500000,3
039111002866,-9032021279126500000,3
002163002820,-9032021279126500000,3
046801002866,-9032021279126500000,3
000074002836,-9032021279126500000,2
005311002812,-9032021279126500000,2
003833002819,-9032021279126500000,2
063003002861,-9032021279126500000,2
063111002866,-9032021279126500000,2
024722002861,-9032021279126500000,2
019001002860,-9032021279126500000,1
030172002861,-9032021279126500000,1
037431002860,-9032021279126500000,1
020549002860,-9032021279126500000,1
019123002860,-9032021279126500000,1
001842002820,-9032021279126500000,1
000862002816,-9032021279126500000,1
020577002860,-9032021279126500000,1
030023002861,-9032021279126500000,1
005315002812,-9032021279126500000,1
005166002822,-9032021279126500000,1
041001002866,-9032021279126500000,1
010741002862,-9032021279126500000,1
032548002864,-9032021279126500000,1
036162002861,-9032021279126500000,1
030512002860,-9032021279126500000,1
006461002812,-9025279739798730000,32
032989002861,-9025279739798730000,26
005851002860,-9025279739798730000,17
012419002863,-9025279739798730000,12
046781002866,-9025279739798730000,10
046792002866,-9025279739798730000,9
018731002860,-9025279739798730000,5
000272002812,-9025279739798730000,4
020398002861,-9025279739798730000,4
000072002820,-9025279739798730000,3
030569002863,-9025279739798730000,2
000251002835,-9025279739798730000,2
065071002860,-9025279739798730000,2
000091002835,-9025279739798730000,2
000083002835,-9025279739798730000,2
032983002861,-9025279739798730000,2
014863002864,-9025279739798730000,2
004333002824,-9025279739798730000,2
046793002866,-9025279739798730000,2
000082002835,-9025279739798730000,2
002452002801,-9025279739798730000,1
001841002820,-9025279739798730000,1
016451002864,-9025279739798730000,1
030228002861,-9025279739798730000,1
046791002866,-9025279739798730000,1
032543002864,-9025279739798730000,1
001842002820,-9025279739798730000,1
001652002801,-9025279739798730000,1
000152002835,-9025279739798730000,1
000081002835,-9025279739798730000,1
031168002861,-9025279739798730000,1
001092002819,-9025279739798730000,1
024713002861,-9025279739798730000,1
017912002861,-9025279739798730000,1
016643002864,-9025279739798730000,1
032548002864,-9025279739798730000,1
020341002861,-9025279739798730000,1
041001002866,-9025279739798730000,1
004151002812,-9025279739798730000,1
010809002861,-9025279739798730000,1
022789002864,-9025279739798730000,1
002773002820,-9025279739798730000,1
020342002861,-9025279739798730000,1
004337002824,-9025279739798730000,1
006911002836,-9025279739798730000,1
065101002861,-9025279739798730000,1
020377002861,-9025279739798730000,1
017792002860,-9025279739798730000,1
000082002819,-9025279739798730000,1
000872002836,-9025279739798730000,1
002671002861,-9025279739798730000,1
034488002863,-9019965180851470000,11
046767002860,-9019965180851470000,7
036932002864,-9019965180851470000,6
034992002864,-9019965180851470000,5
020087002860,-9019965180851470000,4
002162002818,-9019965180851470000,3
023702002860,-9019965180851470000,3
012298002864,-9019965180851470000,3
047622002860,-9019965180851470000,2
004151002812,-9019965180851470000,2
058828002860,-9019965180851470000,2
002692002828,-9019965180851470000,2
004221002812,-9019965180851470000,1
012299002864,-9019965180851470000,1
010699002861,-9019965180851470000,1
000331002820,-9019965180851470000,1
012292002864,-9019965180851470000,1
030659002863,-9019965180851470000,1
005282002825,-9019965180851470000,1
036961002860,-9019965180851470000,1
030658002863,-9019965180851470000,1
062516002860,-9019965180851470000,1
000201004704,-9009056437430080000,13
002431003705,-9009056437430080000,2
003891002911,-9000175916527940000,2
002906003008,-8992879515295540000,6
000041003003,-8992879515295540000,4
000513003008,-8992879515295540000,4
001862003008,-8992879515295540000,3
001627003003,-8992879515295540000,3
000671003008,-8992879515295540000,2
001871003004,-8992879515295540000,2
004512000302,-8992879515295540000,1
001096003005,-8992879515295540000,1
004981000302,-8992879515295540000,1
000512003008,-8992879515295540000,1
000073000302,-8992879515295540000,1
001181000301,-8992879515295540000,1
000073003008,-8992879515295540000,1
018651001103,-8989076737164240000,5
013091001109,-8989076737164240000,2
040557001103,-8989076737164240000,2
064901001109,-8989076737164240000,2
000213000304,-8985203676970230000,1
018461002860,-8971069827442730000,1
012998002861,-8971069827442730000,1
030873002862,-8971069827442730000,1
038823002862,-8971069827442730000,1
003391002804,-8971069827442730000,1
005043002813,-8971069827442730000,1
034513002862,-8971069827442730000,1
003391002804,-8918278571662840000,28
005283002825,-8918278571662840000,25
012839001061,-8918278571662840000,10
018461002860,-8918278571662840000,8
034519002862,-8918278571662840000,5
003392002804,-8918278571662840000,4
036541002863,-8918278571662840000,4
047137004560,-8918278571662840000,4
038812002862,-8918278571662840000,4
065071002860,-8918278571662840000,4
049322002868,-8918278571662840000,3
001922002815,-8918278571662840000,3
005282002825,-8918278571662840000,3
004213004505,-8918278571662840000,3
048581002860,-8918278571662840000,3
005281002825,-8918278571662840000,3
053573005063,-8918278571662840000,3
004212004505,-8918278571662840000,3
047433004560,-8918278571662840000,3
030128002862,-8918278571662840000,3
003291002825,-8918278571662840000,3
022541002860,-8918278571662840000,3
038411002868,-8918278571662840000,2
006301004505,-8918278571662840000,2
000791005061,-8918278571662840000,2
048573002862,-8918278571662840000,2
038201002868,-8918278571662840000,2
003081001004,-8918278571662840000,2
020497002860,-8918278571662840000,2
038813002862,-8918278571662840000,2
065462002868,-8918278571662840000,2
002507002860,-8918278571662840000,2
018463002860,-8918278571662840000,2
038823002862,-8918278571662840000,2
030873002862,-8918278571662840000,2
034513002862,-8918278571662840000,2
032903002864,-8918278571662840000,2
030178002861,-8918278571662840000,2
000831005061,-8918278571662840000,2
032909002864,-8918278571662840000,2
014301002863,-8918278571662840000,2
052163002862,-8918278571662840000,2
047417004560,-8918278571662840000,2
018923002860,-8918278571662840000,2
025073002860,-8918278571662840000,2
048552002860,-8918278571662840000,2
014252002868,-8918278571662840000,2
046454004570,-8918278571662840000,1
004922002864,-8918278571662840000,1
001141005061,-8918278571662840000,1
